date,student_id,course_category,team,sales_rep,contract_value,contract_status
2024-08-18,STU_0365,TOEIC,Team Sigma,Rep_11,352000,Active
2024-09-28,STU_0366,Business English,Team Alpha,Rep_12,1113000,Active
2024-11-13,STU_0367,TOEIC,Team Bravo,Rep_2,1077000,Active
2024-06-24,STU_0368,Academic Skills,Team Alpha,Rep_5,537000,Active
2025-01-27,STU_0369,IELTS,Team Delta,Rep_5,1929000,Active
2025-08-28,STU_0370,TOEIC,Team Delta,Rep_11,1021000,Active
2024-03-18,STU_0371,TOEIC,Team Bravo,Rep_2,1386000,Active
2024-07-08,STU_0372,IELTS,Team Bravo,Rep_11,1943000,Active
2024-05-06,STU_0373,Business English,Team Sigma,Rep_3,1156000,Active
2024-09-13,STU_0374,Business English,Team Bravo,Rep_12,1904000,Active
2024-09-14,STU_0375,TOEIC,Team Sigma,Rep_11,360000,Active
2024-11-30,STU_0376,Kids English,Team Alpha,Rep_15,1803000,Cancelled
2025-02-06,STU_0377,TOEIC,Team Delta,Rep_11,1000000,Active
2025-02-11,STU_0378,Business English,Team Bravo,Rep_7,597000,Active
2025-09-27,STU_0379,Academic Skills,Team Sigma,Rep_4,1500000,Active
2025-08-16,STU_0380,Academic Skills,Team Alpha,Rep_1,1015000,Active
2025-03-04,STU_0381,Kids English,Team Bravo,Rep_2,1727000,Cancelled
2025-06-28,STU_0382,Academic Skills,Team Alpha,Rep_9,1615000,Active
2024-06-07,STU_0383,Kids English,Team Sigma,Rep_5,1358000,Cancelled
2025-11-13,STU_0384,Academic Skills,Team Sigma,Rep_7,1418000,Active
2024-06-01,STU_0385,TOEIC,Team Alpha,Rep_6,600000,Cancelled
2025-05-29,STU_0386,TOEIC,Team Delta,Rep_3,839000,Active
2025-12-06,STU_0387,TOEIC,Team Alpha,Rep_5,1256000,Active
2024-07-27,STU_0388,TOEIC,Team Bravo,Rep_11,887000,Active
2025-11-11,STU_0389,IELTS,Team Bravo,Rep_6,659000,Active
2024-01-16,STU_0390,Academic Skills,Team Delta,Rep_4,1154000,Active
2024-04-17,STU_0391,Kids English,Team Alpha,Rep_8,669000,Active
2025-05-14,STU_0392,IELTS,Team Sigma,Rep_10,1598000,Active
2025-01-30,STU_0393,Academic Skills,Team Sigma,Rep_14,1245000,Active
2024-02-02,STU_0394,IELTS,Team Bravo,Rep_12,949000,Active
2024-07-25,STU_0395,TOEIC,Team Sigma,Rep_8,1893000,Active
2024-11-05,STU_0396,Business English,Team Delta,Rep_12,237000,Active
2025-09-11,STU_0397,Kids English,Team Alpha,Rep_2,429000,Active
2024-04-17,STU_0398,Business English,Team Delta,Rep_3,1588000,Active
2024-12-16,STU_0399,Academic Skills,Team Sigma,Rep_8,762000,Active
2024-02-02,STU_0400,Academic Skills,Team Delta,Rep_9,637000,Active
2024-09-16,STU_0401,Business English,Team Alpha,Rep_13,1999000,Active
2024-02-08,STU_0402,IELTS,Team Bravo,Rep_5,1506000,Active
2025-09-29,STU_0403,Academic Skills,Team Sigma,Rep_7,226000,Active
2025-11-06,STU_0404,Kids English,Team Sigma,Rep_10,425000,Active
2025-01-09,STU_0405,Academic Skills,Team Sigma,Rep_5,1500000,Active
2025-08-08,STU_0406,Kids English,Team Alpha,Rep_7,997000,Active
2025-07-13,STU_0407,Kids English,Team Sigma,Rep_8,1832000,Active
2024-05-16,STU_0408,Academic Skills,Team Alpha,Rep_13,483000,Cancelled
2025-05-28,STU_0409,Business English,Team Sigma,Rep_13,1078000,Active
2025-05-31,STU_0410,IELTS,Team Alpha,Rep_1,1159000,Active
2025-03-10,STU_0411,Business English,Team Alpha,Rep_6,1704000,Active
2025-01-15,STU_0412,Business English,Team Bravo,Rep_1,652000,Active
2025-09-25,STU_0413,Business English,Team Delta,Rep_3,1219000,Active
2024-10-02,STU_0414,IELTS,Team Delta,Rep_12,1015000,Cancelled
2024-12-25,STU_0415,TOEIC,Team Bravo,Rep_7,858000,Active
2024-01-26,STU_0416,Academic Skills,Team Alpha,Rep_7,1739000,Active
2024-10-05,STU_0417,Business English,Team Delta,Rep_4,746000,Cancelled
2025-09-23,STU_0418,TOEIC,Team Delta,Rep_4,1415000,Active
2025-09-09,STU_0419,TOEIC,Team Sigma,Rep_6,1272000,Active
2025-09-22,STU_0420,Academic Skills,Team Alpha,Rep_4,1735000,Active
2024-10-12,STU_0421,IELTS,Team Alpha,Rep_4,216000,Active
2025-12-04,STU_0422,TOEIC,Team Sigma,Rep_9,1395000,Active
2025-12-08,STU_0423,Kids English,Team Sigma,Rep_5,1443000,Cancelled
2024-11-20,STU_0424,IELTS,Team Delta,Rep_10,357000,Active
2024-02-28,STU_0425,TOEIC,Team Sigma,Rep_14,676000,Active
2025-07-15,STU_0426,Kids English,Team Delta,Rep_8,1269000,Active
2025-07-25,STU_0427,IELTS,Team Alpha,Rep_6,1596000,Active
2025-09-22,STU_0428,Kids English,Team Bravo,Rep_10,717000,Active
2025-11-12,STU_0429,Business English,Team Bravo,Rep_9,298000,Active
2024-02-10,STU_0430,Academic Skills,Team Sigma,Rep_1,1968000,Active
2025-09-29,STU_0431,Kids English,Team Alpha,Rep_3,1260000,Active
2024-07-31,STU_0432,Academic Skills,Team Delta,Rep_3,479000,Active
2025-01-15,STU_0433,Business English,Team Alpha,Rep_13,1572000,Active
2024-02-14,STU_0434,Kids English,Team Bravo,Rep_3,696000,Active
2024-02-21,STU_0435,TOEIC,Team Sigma,Rep_2,501000,Active
2025-07-23,STU_0436,Academic Skills,Team Sigma,Rep_4,380000,Active
2024-01-14,STU_0437,Kids English,Team Alpha,Rep_9,806000,Cancelled
2024-03-28,STU_0438,Academic Skills,Team Sigma,Rep_8,1322000,Active
2025-07-01,STU_0439,Academic Skills,Team Sigma,Rep_2,899000,Active
2025-09-10,STU_0440,IELTS,Team Delta,Rep_15,1192000,Active
2024-12-20,STU_0441,IELTS,Team Bravo,Rep_3,1339000,Active
2024-04-03,STU_0442,IELTS,Team Sigma,Rep_5,390000,Active
2024-09-11,STU_0443,TOEIC,Team Alpha,Rep_9,452000,Active
2024-07-29,STU_0444,Business English,Team Alpha,Rep_7,1180000,Active
2024-09-28,STU_0445,TOEIC,Team Sigma,Rep_12,1127000,Active
2024-11-11,STU_0446,Kids English,Team Sigma,Rep_11,1384000,Active
2024-11-05,STU_0447,Academic Skills,Team Sigma,Rep_10,1479000,Active
2025-11-07,STU_0448,Academic Skills,Team Sigma,Rep_14,1546000,Cancelled
2024-08-26,STU_0449,Academic Skills,Team Sigma,Rep_8,327000,Active
2024-09-12,STU_0450,Academic Skills,Team Alpha,Rep_1,217000,Active
2025-11-08,STU_0451,TOEIC,Team Delta,Rep_6,1958000,Active
2025-02-23,STU_0452,IELTS,Team Bravo,Rep_1,765000,Active
2024-08-21,STU_0453,IELTS,Team Alpha,Rep_4,769000,Active
2024-04-15,STU_0454,Business English,Team Sigma,Rep_12,1546000,Active
2025-07-07,STU_0455,TOEIC,Team Sigma,Rep_13,885000,Cancelled
2025-05-28,STU_0456,Kids English,Team Sigma,Rep_3,825000,Active
2025-11-07,STU_0457,Business English,Team Alpha,Rep_12,1511000,Active
2025-08-15,STU_0458,IELTS,Team Alpha,Rep_3,1053000,Active
2024-04-25,STU_0459,TOEIC,Team Alpha,Rep_8,1886000,Active
2025-12-06,STU_0460,IELTS,Team Sigma,Rep_3,1161000,Active
2025-02-20,STU_0461,TOEIC,Team Bravo,Rep_7,1862000,Active
2024-02-24,STU_0462,Business English,Team Delta,Rep_2,354000,Active
2024-12-07,STU_0463,TOEIC,Team Delta,Rep_15,689000,Cancelled
2024-04-16,STU_0464,TOEIC,Team Delta,Rep_8,1609000,Active
2025-03-16,STU_0465,Kids English,Team Bravo,Rep_13,984000,Active
2024-07-27,STU_0466,Academic Skills,Team Sigma,Rep_12,1327000,Active
2024-09-24,STU_0467,TOEIC,Team Alpha,Rep_7,1616000,Active
2025-09-25,STU_0468,Academic Skills,Team Sigma,Rep_2,445000,Active
2024-04-13,STU_0469,Kids English,Team Bravo,Rep_14,1399000,Active
2024-06-25,STU_0470,Business English,Team Bravo,Rep_1,1262000,Active
2024-12-11,STU_0471,IELTS,Team Bravo,Rep_15,1700000,Active
2024-05-03,STU_0472,Academic Skills,Team Alpha,Rep_1,1905000,Active
2025-04-17,STU_0473,IELTS,Team Bravo,Rep_8,958000,Active
2024-06-14,STU_0474,Academic Skills,Team Sigma,Rep_6,737000,Cancelled
2025-05-25,STU_0475,Academic Skills,Team Sigma,Rep_15,1120000,Active
2024-10-26,STU_0476,Kids English,Team Delta,Rep_14,607000,Active
2025-07-28,STU_0477,TOEIC,Team Alpha,Rep_2,724000,Active
2024-04-27,STU_0478,IELTS,Team Delta,Rep_12,1027000,Active
2024-03-12,STU_0479,Academic Skills,Team Delta,Rep_7,1729000,Active
2025-07-30,STU_0480,IELTS,Team Alpha,Rep_4,1102000,Cancelled
2025-04-12,STU_0481,Kids English,Team Alpha,Rep_9,235000,Active
2025-08-14,STU_0482,Academic Skills,Team Bravo,Rep_10,884000,Active
2025-06-08,STU_0483,TOEIC,Team Sigma,Rep_1,219000,Active
2025-08-26,STU_0484,TOEIC,Team Delta,Rep_14,520000,Active
2025-05-09,STU_0485,Kids English,Team Alpha,Rep_13,1999000,Active
2024-12-15,STU_0486,Kids English,Team Sigma,Rep_15,711000,Active
2025-05-28,STU_0487,Business English,Team Bravo,Rep_4,599000,Cancelled
2024-07-28,STU_0488,Kids English,Team Alpha,Rep_12,853000,Active
2025-06-28,STU_0489,IELTS,Team Alpha,Rep_15,1171000,Active
2025-03-15,STU_0490,Business English,Team Bravo,Rep_15,670000,Active
2025-05-30,STU_0491,TOEIC,Team Bravo,Rep_1,1366000,Active
2024-09-13,STU_0492,IELTS,Team Delta,Rep_4,1315000,Active
2024-10-03,STU_0493,TOEIC,Team Bravo,Rep_8,1577000,Active
2024-05-31,STU_0494,Academic Skills,Team Delta,Rep_3,1033000,Active
2025-12-19,STU_0495,IELTS,Team Alpha,Rep_12,926000,Active
2025-09-26,STU_0496,Business English,Team Alpha,Rep_2,1053000,Active
2024-09-08,STU_0497,Kids English,Team Sigma,Rep_5,250000,Active
2024-05-19,STU_0498,Business English,Team Bravo,Rep_3,1888000,Cancelled
2025-04-02,STU_0499,Academic Skills,Team Delta,Rep_4,1921000,Active
2024-06-03,STU_0500,IELTS,Team Delta,Rep_15,774000,Active
2025-06-24,STU_0501,Academic Skills,Team Sigma,Rep_13,1413000,Active
2024-05-09,STU_0502,TOEIC,Team Bravo,Rep_7,1348000,Cancelled
2025-05-12,STU_0503,Academic Skills,Team Bravo,Rep_15,349000,Cancelled
2025-01-12,STU_0504,Business English,Team Alpha,Rep_5,513000,Active
2024-10-19,STU_0505,Academic Skills,Team Sigma,Rep_10,769000,Active
2024-03-17,STU_0506,Business English,Team Delta,Rep_9,1565000,Active
2024-01-28,STU_0507,TOEIC,Team Bravo,Rep_13,504000,Active
2024-09-28,STU_0508,IELTS,Team Bravo,Rep_7,1915000,Active
2024-07-17,STU_0509,Academic Skills,Team Delta,Rep_13,881000,Active
2024-04-24,STU_0510,Kids English,Team Sigma,Rep_11,1037000,Active
2024-09-28,STU_0511,IELTS,Team Alpha,Rep_12,1277000,Active
2025-12-31,STU_0512,Business English,Team Bravo,Rep_7,1202000,Active
2024-06-09,STU_0513,Kids English,Team Bravo,Rep_3,643000,Active
2024-12-28,STU_0514,IELTS,Team Delta,Rep_15,812000,Active
2025-05-08,STU_0515,Business English,Team Delta,Rep_4,1192000,Active
2025-08-31,STU_0516,IELTS,Team Bravo,Rep_3,463000,Active
2024-05-14,STU_0517,Academic Skills,Team Sigma,Rep_3,1276000,Active
2024-09-16,STU_0518,Academic Skills,Team Delta,Rep_12,1795000,Active
2024-05-27,STU_0519,Business English,Team Alpha,Rep_13,1203000,Cancelled
2024-01-12,STU_0520,Kids English,Team Bravo,Rep_11,1843000,Active
2024-01-01,STU_0521,Academic Skills,Team Sigma,Rep_13,204000,Active
2024-07-26,STU_0522,IELTS,Team Delta,Rep_1,1326000,Active
2025-04-24,STU_0523,IELTS,Team Sigma,Rep_3,1419000,Active
2024-01-23,STU_0524,IELTS,Team Sigma,Rep_7,973000,Active
2024-12-17,STU_0525,Academic Skills,Team Bravo,Rep_2,1076000,Active
2024-08-23,STU_0526,IELTS,Team Bravo,Rep_15,1191000,Cancelled
2024-04-09,STU_0527,Kids English,Team Sigma,Rep_4,1083000,Active
2025-09-26,STU_0528,TOEIC,Team Alpha,Rep_5,1573000,Cancelled
2025-02-06,STU_0529,TOEIC,Team Delta,Rep_8,246000,Cancelled
2024-01-28,STU_0530,Academic Skills,Team Sigma,Rep_11,1066000,Active
2025-03-28,STU_0531,Kids English,Team Bravo,Rep_8,1022000,Cancelled
2024-08-26,STU_0532,Kids English,Team Sigma,Rep_14,1135000,Active
2025-03-01,STU_0533,Kids English,Team Delta,Rep_7,855000,Active
2025-12-21,STU_0534,IELTS,Team Alpha,Rep_8,468000,Active
2024-12-27,STU_0535,IELTS,Team Delta,Rep_3,569000,Cancelled
2024-05-31,STU_0536,Academic Skills,Team Alpha,Rep_9,835000,Cancelled
2025-07-22,STU_0537,Kids English,Team Sigma,Rep_15,1329000,Active
2024-08-03,STU_0538,TOEIC,Team Sigma,Rep_10,1893000,Active
2024-02-01,STU_0539,TOEIC,Team Bravo,Rep_9,1882000,Active
2024-03-01,STU_0540,Business English,Team Delta,Rep_15,856000,Active
2024-01-10,STU_0541,Kids English,Team Sigma,Rep_14,319000,Active
2025-05-11,STU_0542,Academic Skills,Team Alpha,Rep_7,1030000,Active
2024-03-27,STU_0543,IELTS,Team Bravo,Rep_10,1827000,Active
2024-09-29,STU_0544,Business English,Team Delta,Rep_8,1281000,Active
2025-07-17,STU_0545,Academic Skills,Team Bravo,Rep_5,1569000,Cancelled
2024-04-09,STU_0546,Academic Skills,Team Delta,Rep_1,940000,Active
2025-01-20,STU_0547,Academic Skills,Team Delta,Rep_10,1697000,Active
2024-03-31,STU_0548,IELTS,Team Delta,Rep_7,316000,Active
2024-06-15,STU_0549,Academic Skills,Team Alpha,Rep_7,990000,Cancelled
2025-03-05,STU_0550,Business English,Team Sigma,Rep_10,1350000,Cancelled
2024-12-04,STU_0551,TOEIC,Team Delta,Rep_12,1616000,Active
2024-11-14,STU_0552,Academic Skills,Team Delta,Rep_1,1212000,Active
2025-07-05,STU_0553,Business English,Team Alpha,Rep_9,1864000,Active
2024-05-08,STU_0554,TOEIC,Team Sigma,Rep_11,1281000,Active
2025-06-22,STU_0555,TOEIC,Team Bravo,Rep_2,833000,Active
2025-04-22,STU_0556,IELTS,Team Delta,Rep_4,712000,Active
2025-11-02,STU_0557,Kids English,Team Sigma,Rep_5,1974000,Active
2024-12-03,STU_0558,Business English,Team Delta,Rep_13,1001000,Active
2025-01-30,STU_0559,IELTS,Team Delta,Rep_15,1319000,Active
2025-03-29,STU_0560,Business English,Team Alpha,Rep_14,1861000,Active
2024-10-07,STU_0561,Business English,Team Bravo,Rep_5,1341000,Active
2024-05-14,STU_0562,Business English,Team Delta,Rep_7,759000,Cancelled
2025-06-14,STU_0563,Kids English,Team Delta,Rep_2,1824000,Active
2024-01-24,STU_0564,Kids English,Team Delta,Rep_10,687000,Cancelled
2024-09-06,STU_0565,IELTS,Team Sigma,Rep_6,1460000,Active
2025-05-22,STU_0566,IELTS,Team Bravo,Rep_1,1096000,Active
2024-08-29,STU_0567,TOEIC,Team Bravo,Rep_11,1495000,Active
2024-11-07,STU_0568,Kids English,Team Alpha,Rep_8,1412000,Active
2025-05-20,STU_0569,TOEIC,Team Bravo,Rep_13,903000,Active
2024-01-25,STU_0570,TOEIC,Team Delta,Rep_5,1670000,Active
2025-12-29,STU_0571,TOEIC,Team Alpha,Rep_5,780000,Active
2024-04-10,STU_0572,Business English,Team Bravo,Rep_14,989000,Active
2025-05-16,STU_0573,Academic Skills,Team Delta,Rep_11,1060000,Active
2024-04-14,STU_0574,Business English,Team Delta,Rep_1,446000,Active
2025-10-19,STU_0575,Academic Skills,Team Bravo,Rep_5,1299000,Active
2024-09-18,STU_0576,Business English,Team Alpha,Rep_1,353000,Active
2025-05-08,STU_0577,TOEIC,Team Sigma,Rep_4,1879000,Active
2024-10-19,STU_0578,TOEIC,Team Sigma,Rep_14,1658000,Active
2025-02-03,STU_0579,Kids English,Team Delta,Rep_13,1196000,Cancelled
2025-06-08,STU_0580,IELTS,Team Delta,Rep_8,1309000,Active
2025-01-17,STU_0581,Kids English,Team Sigma,Rep_5,896000,Active
2025-10-29,STU_0582,TOEIC,Team Alpha,Rep_2,1508000,Cancelled
2025-03-27,STU_0583,Kids English,Team Sigma,Rep_6,1443000,Active
2025-03-15,STU_0584,Academic Skills,Team Delta,Rep_8,1292000,Active
2024-02-03,STU_0585,TOEIC,Team Alpha,Rep_12,1270000,Active
2024-08-24,STU_0586,Business English,Team Delta,Rep_2,1208000,Active
2024-02-04,STU_0587,TOEIC,Team Alpha,Rep_14,293000,Active
2025-04-23,STU_0588,Kids English,Team Bravo,Rep_4,1973000,Active
2025-12-21,STU_0589,Academic Skills,Team Delta,Rep_10,1157000,Active
2024-02-25,STU_0590,Business English,Team Delta,Rep_6,1211000,Active
2024-01-04,STU_0591,Academic Skills,Team Sigma,Rep_15,652000,Cancelled
2024-09-07,STU_0592,IELTS,Team Delta,Rep_11,1427000,Active
2024-09-05,STU_0593,Kids English,Team Alpha,Rep_11,1111000,Active
2024-05-23,STU_0594,IELTS,Team Delta,Rep_1,417000,Active
2024-02-13,STU_0595,Academic Skills,Team Sigma,Rep_10,673000,Active
2025-05-06,STU_0596,Business English,Team Alpha,Rep_6,631000,Active
2024-11-20,STU_0597,Business English,Team Sigma,Rep_14,540000,Active
2024-10-13,STU_0598,Kids English,Team Sigma,Rep_14,750000,Active
2024-08-14,STU_0599,IELTS,Team Sigma,Rep_2,1835000,Cancelled
2024-04-13,STU_0600,Business English,Team Alpha,Rep_10,1512000,Active
2024-06-14,STU_0601,Academic Skills,Team Alpha,Rep_1,1477000,Active
2024-01-12,STU_0602,Kids English,Team Sigma,Rep_9,1957000,Active
2024-01-07,STU_0603,Kids English,Team Sigma,Rep_3,556000,Active
2024-08-14,STU_0604,Kids English,Team Delta,Rep_12,222000,Active
2024-01-13,STU_0605,IELTS,Team Delta,Rep_2,1985000,Active
2024-10-04,STU_0606,TOEIC,Team Bravo,Rep_6,721000,Active
2025-07-28,STU_0607,Academic Skills,Team Delta,Rep_6,1981000,Active
2025-08-31,STU_0608,Academic Skills,Team Sigma,Rep_11,1323000,Active
2024-08-08,STU_0609,IELTS,Team Sigma,Rep_13,1001000,Active
2024-06-15,STU_0610,Kids English,Team Sigma,Rep_4,1403000,Active
2025-12-26,STU_0611,Academic Skills,Team Delta,Rep_5,1446000,Active
2024-09-06,STU_0612,Academic Skills,Team Sigma,Rep_10,961000,Active
2024-12-29,STU_0613,Business English,Team Delta,Rep_12,1882000,Active
2024-06-04,STU_0614,Academic Skills,Team Alpha,Rep_6,641000,Active
2024-04-20,STU_0615,Academic Skills,Team Alpha,Rep_13,1831000,Active
2024-09-11,STU_0616,IELTS,Team Alpha,Rep_1,968000,Active
2025-07-13,STU_0617,TOEIC,Team Alpha,Rep_13,1215000,Active
2024-11-24,STU_0618,Kids English,Team Sigma,Rep_15,1548000,Cancelled
2025-08-22,STU_0619,Academic Skills,Team Sigma,Rep_8,715000,Active
2024-08-24,STU_0620,Business English,Team Delta,Rep_1,1239000,Cancelled
2025-07-10,STU_0621,Business English,Team Bravo,Rep_2,991000,Active
2025-01-04,STU_0622,Academic Skills,Team Alpha,Rep_5,535000,Active
2024-06-12,STU_0623,Business English,Team Sigma,Rep_7,1982000,Active
2025-08-26,STU_0624,Kids English,Team Delta,Rep_10,457000,Active
2024-02-23,STU_0625,Kids English,Team Bravo,Rep_8,696000,Active
2025-09-02,STU_0626,Academic Skills,Team Delta,Rep_11,1095000,Active
2025-05-08,STU_0627,IELTS,Team Bravo,Rep_7,359000,Active
2024-06-02,STU_0628,IELTS,Team Sigma,Rep_3,1698000,Active
2025-01-27,STU_0629,IELTS,Team Bravo,Rep_11,1051000,Active
2025-01-17,STU_0630,Business English,Team Sigma,Rep_10,1887000,Active
2025-01-26,STU_0631,Kids English,Team Delta,Rep_12,889000,Active
2024-01-20,STU_0632,Academic Skills,Team Sigma,Rep_1,1898000,Active
2025-10-14,STU_0633,Kids English,Team Sigma,Rep_9,579000,Active
2025-04-12,STU_0634,TOEIC,Team Delta,Rep_1,1768000,Active
2025-07-09,STU_0635,Kids English,Team Delta,Rep_4,1156000,Active
2024-05-24,STU_0636,Academic Skills,Team Delta,Rep_2,890000,Cancelled
2024-02-11,STU_0637,Academic Skills,Team Delta,Rep_14,1650000,Cancelled
2024-12-31,STU_0638,Business English,Team Sigma,Rep_15,1836000,Active
2025-12-21,STU_0639,Business English,Team Bravo,Rep_11,1491000,Active
2024-03-07,STU_0640,TOEIC,Team Delta,Rep_8,1800000,Active
2024-04-30,STU_0641,IELTS,Team Sigma,Rep_9,1640000,Active
2024-08-15,STU_0642,Academic Skills,Team Alpha,Rep_8,1391000,Active
2024-12-28,STU_0643,TOEIC,Team Sigma,Rep_5,1266000,Active
2024-04-10,STU_0644,TOEIC,Team Sigma,Rep_10,1779000,Active
2024-08-29,STU_0645,Kids English,Team Delta,Rep_14,484000,Cancelled
2024-05-12,STU_0646,Kids English,Team Alpha,Rep_13,596000,Active
2024-10-29,STU_0647,TOEIC,Team Sigma,Rep_9,211000,Active
2025-09-11,STU_0648,TOEIC,Team Bravo,Rep_10,1830000,Active
2025-02-21,STU_0649,TOEIC,Team Delta,Rep_8,1525000,Cancelled
2024-07-05,STU_0650,Kids English,Team Delta,Rep_9,1476000,Active
2024-09-13,STU_0651,TOEIC,Team Bravo,Rep_15,698000,Active
2025-08-13,STU_0652,Business English,Team Delta,Rep_14,953000,Active
2024-07-25,STU_0653,IELTS,Team Bravo,Rep_6,234000,Active
2024-06-25,STU_0654,Kids English,Team Delta,Rep_5,926000,Active
2024-10-14,STU_0655,Business English,Team Bravo,Rep_2,1048000,Active
2024-05-15,STU_0656,Business English,Team Delta,Rep_5,289000,Active
2025-11-20,STU_0657,Business English,Team Delta,Rep_9,975000,Active
2024-12-18,STU_0658,IELTS,Team Sigma,Rep_4,804000,Active
2025-10-06,STU_0659,Business English,Team Alpha,Rep_14,1169000,Active
2024-01-13,STU_0660,Academic Skills,Team Bravo,Rep_13,1825000,Active
2025-08-07,STU_0661,Business English,Team Alpha,Rep_2,1221000,Active
2025-05-16,STU_0662,Kids English,Team Alpha,Rep_11,617000,Active
2024-11-09,STU_0663,Business English,Team Bravo,Rep_6,314000,Active
2025-08-29,STU_0664,Academic Skills,Team Bravo,Rep_7,816000,Cancelled
2024-07-22,STU_0665,TOEIC,Team Bravo,Rep_12,1419000,Active
2024-04-24,STU_0666,Business English,Team Bravo,Rep_1,1025000,Active
2024-05-30,STU_0667,TOEIC,Team Delta,Rep_8,1724000,Active
2025-08-28,STU_0668,IELTS,Team Bravo,Rep_4,1849000,Active
2025-01-31,STU_0669,Business English,Team Bravo,Rep_12,1716000,Active
2025-05-16,STU_0670,TOEIC,Team Alpha,Rep_5,1298000,Active
2024-03-10,STU_0671,TOEIC,Team Alpha,Rep_6,612000,Active
2025-03-07,STU_0672,Kids English,Team Delta,Rep_14,1599000,Active
2025-01-29,STU_0673,Academic Skills,Team Bravo,Rep_1,1643000,Active
2025-07-22,STU_0674,TOEIC,Team Sigma,Rep_4,928000,Active
2025-12-30,STU_0675,Kids English,Team Alpha,Rep_14,1500000,Active
2025-04-10,STU_0676,Kids English,Team Sigma,Rep_12,1220000,Active
2024-11-02,STU_0677,IELTS,Team Sigma,Rep_5,960000,Active
2024-06-09,STU_0678,Kids English,Team Sigma,Rep_4,875000,Active
2024-01-15,STU_0679,Business English,Team Sigma,Rep_12,1617000,Cancelled
2024-06-26,STU_0680,Academic Skills,Team Bravo,Rep_9,656000,Active
2025-10-26,STU_0681,Kids English,Team Alpha,Rep_10,1119000,Active
2024-07-28,STU_0682,Business English,Team Bravo,Rep_10,391000,Active
2024-04-11,STU_0683,Academic Skills,Team Alpha,Rep_4,938000,Active
2024-06-07,STU_0684,Kids English,Team Sigma,Rep_14,1912000,Active
2025-05-03,STU_0685,Business English,Team Alpha,Rep_7,1322000,Active
2024-01-13,STU_0686,IELTS,Team Delta,Rep_13,1771000,Active
2024-12-06,STU_0687,Kids English,Team Delta,Rep_2,1177000,Active
2024-07-19,STU_0688,TOEIC,Team Alpha,Rep_4,1208000,Active
2025-12-09,STU_0689,Kids English,Team Bravo,Rep_4,295000,Active
2025-11-24,STU_0690,Academic Skills,Team Alpha,Rep_4,1887000,Active
2024-02-19,STU_0691,IELTS,Team Bravo,Rep_7,862000,Cancelled
2025-03-26,STU_0692,TOEIC,Team Delta,Rep_9,1413000,Active
2025-07-05,STU_0693,Business English,Team Sigma,Rep_15,1959000,Active
2025-09-15,STU_0694,TOEIC,Team Delta,Rep_12,236000,Cancelled
2025-03-09,STU_0695,Kids English,Team Bravo,Rep_15,1592000,Active
2024-02-24,STU_0696,Business English,Team Delta,Rep_12,1918000,Active
2025-12-19,STU_0697,TOEIC,Team Delta,Rep_2,1748000,Active
2025-06-02,STU_0698,TOEIC,Team Bravo,Rep_1,478000,Active
2024-08-20,STU_0699,IELTS,Team Alpha,Rep_1,416000,Active
2025-06-12,STU_0700,Kids English,Team Sigma,Rep_13,1066000,Active
2025-09-07,STU_0701,TOEIC,Team Bravo,Rep_10,1072000,Active
2025-11-06,STU_0702,TOEIC,Team Bravo,Rep_14,1496000,Cancelled
2024-02-17,STU_0703,TOEIC,Team Sigma,Rep_10,261000,Active
2025-04-01,STU_0704,IELTS,Team Delta,Rep_7,795000,Active
2025-04-22,STU_0705,TOEIC,Team Alpha,Rep_11,928000,Active
2024-06-02,STU_0706,Business English,Team Bravo,Rep_4,1565000,Active
2024-06-26,STU_0707,Kids English,Team Alpha,Rep_7,596000,Active
2024-06-26,STU_0708,Academic Skills,Team Delta,Rep_4,898000,Cancelled
2025-10-26,STU_0709,Academic Skills,Team Bravo,Rep_9,1242000,Active
2024-10-18,STU_0710,TOEIC,Team Bravo,Rep_11,376000,Active
2025-02-25,STU_0711,Kids English,Team Alpha,Rep_15,1835000,Active
2025-05-23,STU_0712,IELTS,Team Sigma,Rep_4,595000,Cancelled
2025-08-19,STU_0713,Kids English,Team Bravo,Rep_3,644000,Active
2025-10-31,STU_0714,Business English,Team Delta,Rep_1,1456000,Active
2024-08-14,STU_0715,Kids English,Team Delta,Rep_15,275000,Active
2025-12-06,STU_0716,Academic Skills,Team Bravo,Rep_13,464000,Cancelled
2025-01-24,STU_0717,IELTS,Team Bravo,Rep_7,654000,Active
2025-01-01,STU_0718,TOEIC,Team Delta,Rep_4,917000,Cancelled
2024-03-17,STU_0719,Kids English,Team Sigma,Rep_9,934000,Active
2025-08-22,STU_0720,IELTS,Team Sigma,Rep_7,1607000,Active
2025-03-03,STU_0721,TOEIC,Team Sigma,Rep_3,1787000,Active
2024-12-08,STU_0722,Academic Skills,Team Sigma,Rep_13,1050000,Active
2025-11-06,STU_0723,TOEIC,Team Bravo,Rep_7,1729000,Active
2025-09-16,STU_0724,Kids English,Team Bravo,Rep_7,1590000,Active
2025-11-05,STU_0725,TOEIC,Team Delta,Rep_15,343000,Active
2024-03-07,STU_0726,Business English,Team Bravo,Rep_13,1084000,Active
2025-05-05,STU_0727,Kids English,Team Bravo,Rep_11,1292000,Active
2024-05-04,STU_0728,TOEIC,Team Sigma,Rep_3,1322000,Cancelled
2024-08-01,STU_0729,Academic Skills,Team Sigma,Rep_15,595000,Cancelled
